"DEPCOM","COM","POP"
2532,"Moÿ-de-l'Aisne",975
2533,"Muret-et-Crouttes",119
2534,"Muscourt",52
2535,"Nampcelles-la-Cour",118
2536,"Nampteuil-sous-Muret",103
2537,"Nanteuil-la-Fosse",193
2538,"Nanteuil-Notre-Dame",62
2539,"Nauroy",703
2540,"Nesles-la-Montagne",1230
2541,"Neufchâtel-sur-Aisne",423
2542,"Neuflieux",91
2543,"Neuilly-Saint-Front",2078
2544,"Neuve-Maison",611
2545,"La Neuville-Bosmont",187
2546,"La Neuville-en-Beine",197
2547,"La Neuville-Housset",67
2548,"La Neuville-lès-Dorengt",380
2549,"Neuville-Saint-Amand",842
2550,"Neuville-sur-Ailette",105
2551,"Neuville-sur-Margival",117
2552,"Neuvillette",186
2553,"Nizy-le-Comte",244
2555,"Nogent-l'Artaud",2167
2554,"Nogentel",1012
2556,"Noircourt",81
2557,"Noroy-sur-Ourcq",130
2558,"Le Nouvion-en-Thiérache",2602
2559,"Nouvion-et-Catillon",474
2560,"Nouvion-le-Comte",249
2561,"Nouvion-le-Vineux",165
2562,"Nouvron-Vingré",225
2563,"Noyales",167
2564,"Noyant-et-Aconin",502
2566,"Ognes",1113
2567,"Ohis",303
2568,"Oigny-en-Valois",155
2569,"Oisy",466
2570,"Ollezy",184
2571,"Omissy",714
2572,"Orainville",507
2573,"Orgeval",66
2574,"Origny-en-Thiérache",1453
2575,"Origny-Sainte-Benoite",1685
2576,"Osly-Courtil",326
2577,"Ostel",80
2578,"Oulches-la-Vallée-Foulon",85
2579,"Oulchy-la-Ville",122
2580,"Oulchy-le-Château",823
2581,"Paars",314
2582,"Paissy",75
2583,"Pancy-Courtecon",56
2584,"Papleux",128
